"tm","ECG","CVP"
3.056,0.113,1.096
3.058,0.111,1.096
3.061,0.117,1.145
3.064,0.124,1.096
3.067,0.124,1.096
3.069,0.118,1.145
3.072,0.113,1.245
3.075,0.115,1.394
3.078,0.119,1.444
3.081,0.12,1.444
3.083,0.117,1.444
3.086,0.113,1.394
3.089,0.11,1.444
3.092,0.113,1.494
3.094,0.118,1.544
3.097,0.121,1.544
3.1,0.118,1.494
3.103,0.115,1.444
3.106,0.114,1.444
3.108,0.117,1.444
3.111,0.121,1.444
3.114,0.123,1.494
3.117,0.123,1.444
3.119,0.118,1.444
3.122,0.114,1.444
3.125,0.117,1.544
3.128,0.122,1.643
3.131,0.122,1.643
3.133,0.12,1.594
3.136,0.125,1.594
3.139,0.136,1.643
3.142,0.147,1.693
3.144,0.156,1.693
3.147,0.171,1.743
3.15,0.185,1.843
3.153,0.194,1.942
3.156,0.199,1.992
3.158,0.209,2.042
3.161,0.223,2.141
3.164,0.233,2.141
3.167,0.243,2.092
3.169,0.25,2.092
3.172,0.248,2.092
3.175,0.238,2.092
3.178,0.235,2.141
3.181,0.244,2.241
3.183,0.25,2.241
3.186,0.243,2.241
3.189,0.232,2.241
3.192,0.238,2.241
3.194,0.26,2.241
3.197,0.283,2.241
3.2,0.291,2.191
3.203,0.285,2.291
3.206,0.276,2.44
3.208,0.276,2.54
3.211,0.28,2.49
3.214,0.279,2.49
3.217,0.273,2.639
3.219,0.272,2.789
3.222,0.272,2.938
3.225,0.266,3.088
3.228,0.259,3.237
3.231,0.252,3.386
3.233,0.237,3.536
3.236,0.209,3.685
3.239,0.179,3.934
3.242,0.161,4.133
3.244,0.145,4.283
3.247,0.12,4.382
3.25,0.092,4.631
3.253,0.072,4.98
3.256,0.066,5.378
3.258,0.073,5.677
3.261,0.086,5.876
3.264,0.094,6.026
3.267,0.089,6.225
3.269,0.079,6.375
3.272,0.079,6.524
3.275,0.089,6.624
3.278,0.098,6.673
3.281,0.094,6.624
3.283,0.079,6.524
3.286,0.069,6.424
3.289,0.066,6.325
3.292,0.069,6.275
3.294,0.071,6.125
3.297,0.07,5.926
3.3,0.069,5.677
3.303,0.068,5.528
3.306,0.068,5.329
3.308,0.067,5.179
3.311,0.07,5.03
3.314,0.073,4.98
3.317,0.073,4.781
3.319,0.069,4.582
3.322,0.066,4.432
3.325,0.068,4.382
3.328,0.072,4.333
3.331,0.076,4.233
3.333,0.077,4.133
3.336,0.074,4.084
3.339,0.071,4.133
3.342,0.073,4.233
3.344,0.076,4.333
3.347,0.076,4.333
3.35,0.073,4.333
3.353,0.072,4.432
3.356,0.075,4.631
3.358,0.078,4.831
3.361,0.081,5.03
3.364,0.083,5.129
3.367,0.081,5.229
3.369,0.078,5.428
3.372,0.078,5.627
3.375,0.082,5.827
3.378,0.087,5.976
3.381,0.089,6.076
3.383,0.089,6.175
3.386,0.086,6.225
3.389,0.084,6.375
3.392,0.085,6.474
3.394,0.089,6.424
3.397,0.09,6.275
3.4,0.085,6.175
3.403,0.082,6.076
3.406,0.084,5.976
3.408,0.091,5.827
3.411,0.095,5.627
3.414,0.094,5.329
3.417,0.09,5.08
3.419,0.089,4.88
3.422,0.089,4.781
3.425,0.094,4.582
3.428,0.096,4.283
3.431,0.096,3.934
3.433,0.094,3.635
3.436,0.09,3.386
3.439,0.089,3.237
3.442,0.09,3.088
3.444,0.095,2.888
3.447,0.099,2.59
3.45,0.096,2.291
3.453,0.091,2.141
3.456,0.091,2.042
3.458,0.096,1.942
3.461,0.099,1.793
3.464,0.098,1.643
3.467,0.096,1.544
3.469,0.095,1.494
3.472,0.095,1.394
3.475,0.097,1.295
3.478,0.102,1.195
3.481,0.104,1.096
3.483,0.102,1.046
3.486,0.098,1.096
3.489,0.097,1.145
3.492,0.101,1.195
3.494,0.104,1.096
3.497,0.104,1.046
3.5,0.101,1.046
3.503,0.097,1.145
3.506,0.096,1.245
3.508,0.1,1.295
3.511,0.103,1.245
3.514,0.102,1.245
3.517,0.095,1.245
3.519,0.089,1.345
3.522,0.09,1.394
3.525,0.096,1.345
3.528,0.103,1.295
3.531,0.105,1.245
3.533,0.101,1.245
3.536,0.096,1.345
3.539,0.097,1.295
3.542,0.103,1.245
3.544,0.107,1.245
3.547,0.107,1.345
3.55,0.104,1.444
3.553,0.102,1.494
3.556,0.103,1.494
3.558,0.111,1.394
3.561,0.119,1.345
3.564,0.119,1.444
3.567,0.112,1.544
3.569,0.108,1.643
3.572,0.113,1.743
3.575,0.121,1.843
3.578,0.124,1.992
3.581,0.124,2.191
3.583,0.12,2.341
3.586,0.114,2.44
3.589,0.113,2.54
3.592,0.123,2.689
3.594,0.134,2.839
3.597,0.136,2.988
3.6,0.13,3.088
3.603,0.127,3.187
3.606,0.133,3.337
3.608,0.15,3.486
3.611,0.178,3.536
3.614,0.215,3.586
3.617,0.258,3.635
3.619,0.308,3.635
3.622,0.364,3.635
3.625,0.414,3.685
3.628,0.444,3.735
3.631,0.464,3.685
3.633,0.508,3.635
3.636,0.611,3.586
3.639,0.789,3.586
3.642,1.029,3.586
3.644,1.299,3.586
3.647,1.568,3.436
3.65,1.799,3.337
3.653,1.908,3.287
3.656,1.798,3.287
3.658,1.469,3.337
3.661,1.046,3.337
3.664,0.652,3.237
3.667,0.302,3.137
3.669,-0.036,3.088
3.672,-0.322,3.137
3.675,-0.492,3.187
3.678,-0.554,3.137
3.681,-0.573,3.088
3.683,-0.583,3.088
3.686,-0.575,3.137
3.689,-0.55,3.287
3.692,-0.525,3.337
3.694,-0.501,3.337
3.697,-0.469,3.287
3.7,-0.439,3.287
3.703,-0.418,3.436
3.706,-0.398,3.586
3.708,-0.361,3.685
3.711,-0.31,3.685
3.714,-0.262,3.685
3.717,-0.224,3.785
3.719,-0.194,3.884
3.722,-0.168,3.984
3.725,-0.147,4.034
3.728,-0.135,4.084
3.731,-0.137,4.133
3.733,-0.145,4.133
3.736,-0.147,4.133
3.739,-0.139,4.034
3.742,-0.127,3.984
3.744,-0.12,3.984
3.747,-0.123,4.034
3.75,-0.129,3.984
3.753,-0.132,3.984
3.756,-0.129,3.984
3.758,-0.124,3.984
3.761,-0.125,3.884
3.764,-0.132,3.785
3.767,-0.139,3.735
3.769,-0.142,3.735
3.772,-0.141,3.685
3.775,-0.137,3.536
3.778,-0.135,3.386
3.781,-0.135,3.237
3.783,-0.141,3.237
3.786,-0.147,3.187
3.789,-0.146,3.088
3.792,-0.14,2.888
3.794,-0.133,2.739
3.797,-0.133,2.59
3.8,-0.138,2.39
3.803,-0.142,2.141
3.806,-0.139,1.942
3.808,-0.137,1.743
3.811,-0.135,1.494
3.814,-0.137,1.245
3.817,-0.14,0.996
3.819,-0.142,0.797
3.822,-0.138,0.697
3.825,-0.131,0.598
3.828,-0.127,0.548
3.831,-0.128,0.598
3.833,-0.132,0.647
3.836,-0.132,0.647
3.839,-0.128,0.647
3.842,-0.126,0.647
3.844,-0.123,0.697
3.847,-0.123,0.797
3.85,-0.122,0.896
3.853,-0.123,0.946
3.856,-0.123,0.946
3.858,-0.118,1.096
3.861,-0.113,1.245
3.864,-0.113,1.444
3.867,-0.116,1.594
3.869,-0.117,1.743
3.872,-0.111,1.942
3.875,-0.103,2.092
3.878,-0.099,2.341
3.881,-0.1,2.54
3.883,-0.102,2.739
3.886,-0.102,2.938
3.889,-0.099,3.088
3.892,-0.098,3.237
3.894,-0.096,3.386
3.897,-0.095,3.536
3.9,-0.097,3.685
3.903,-0.099,3.785
3.906,-0.096,3.884
3.908,-0.089,3.934
3.911,-0.084,3.884
3.914,-0.086,3.835
3.917,-0.093,3.835
3.919,-0.096,3.884
3.922,-0.095,3.835
3.925,-0.094,3.735
3.928,-0.094,3.635
3.931,-0.094,3.486
3.933,-0.095,3.386
3.936,-0.098,3.337
3.939,-0.099,3.287
3.942,-0.097,3.287
3.944,-0.096,3.237
3.947,-0.102,3.187
3.95,-0.11,3.187
3.953,-0.116,3.187
3.956,-0.117,3.187
3.958,-0.117,3.237
3.961,-0.119,3.187
3.964,-0.121,3.088
3.967,-0.118,3.187
3.969,-0.113,3.436
3.972,-0.103,3.635
3.975,-0.094,3.635
3.978,-0.087,3.586
3.981,-0.084,3.635
3.983,-0.084,3.835
3.986,-0.08,3.984
3.989,-0.075,4.034
3.992,-0.069,4.084
3.994,-0.065,4.084
3.997,-0.065,4.183
4,-0.074,4.283
4.003,-0.088,4.432
4.006,-0.096,4.482
4.008,-0.096,4.432
4.011,-0.097,4.432
4.014,-0.108,4.532
4.017,-0.123,4.681
4.019,-0.13,4.681
4.022,-0.12,4.631
4.025,-0.106,4.631
4.028,-0.1,4.681
4.031,-0.106,4.681
4.033,-0.113,4.731
4.036,-0.113,4.831
4.039,-0.109,4.93
4.042,-0.111,4.98
4.044,-0.115,5.08
4.047,-0.118,5.229
4.05,-0.115,5.478
4.053,-0.113,5.627
4.056,-0.112,5.876
4.058,-0.113,6.125
4.061,-0.116,6.375
4.064,-0.12,6.574
4.067,-0.123,6.873
4.069,-0.127,7.321
4.072,-0.136,7.669
4.075,-0.15,7.869
4.078,-0.168,8.118
4.081,-0.192,8.416
4.083,-0.215,8.765
4.086,-0.224,9.163
4.089,-0.216,9.562
4.092,-0.201,9.91
4.094,-0.195,10.209
4.097,-0.198,10.508
4.1,-0.205,10.757
4.103,-0.211,11.106
4.106,-0.209,11.454
4.108,-0.198,11.703
4.111,-0.186,11.803
4.114,-0.185,11.952
4.117,-0.192,12.201
4.119,-0.193,12.351
4.122,-0.182,12.4
4.125,-0.171,12.45
4.128,-0.166,12.5
4.131,-0.164,12.55
4.133,-0.157,12.6
4.136,-0.151,12.649
4.139,-0.145,12.699
4.142,-0.138,12.6
4.144,-0.132,12.5
4.147,-0.127,12.4
4.15,-0.125,12.4
4.153,-0.119,12.351
4.156,-0.111,12.201
4.158,-0.104,12.052
4.161,-0.102,11.952
4.164,-0.098,11.803
4.167,-0.093,11.604
4.169,-0.086,11.305
4.172,-0.079,11.006
4.175,-0.073,10.707
4.178,-0.065,10.359
4.181,-0.06,10.06
4.183,-0.057,9.811
4.186,-0.054,9.462
4.189,-0.048,8.964
4.192,-0.039,8.516
4.194,-0.031,8.118
4.197,-0.028,7.719
4.2,-0.03,7.221
4.203,-0.027,6.624
4.206,-0.02,6.076
4.208,-0.012,5.627
4.211,-0.008,5.229
4.214,-0.007,4.93
4.217,-0.004,4.532
4.219,0,4.133
4.222,0.006,3.785
4.225,0.012,3.337
4.228,0.015,2.839
4.231,0.015,2.39
4.233,0.018,2.042
4.236,0.026,1.793
4.239,0.034,1.494
4.242,0.039,1.245
4.244,0.043,0.996
4.247,0.045,0.797
4.25,0.044,0.598
4.253,0.045,0.398
4.256,0.051,0.149
4.258,0.06,-0.1
4.261,0.063,-0.299
4.264,0.063,-0.448
4.267,0.065,-0.548
4.269,0.068,-0.647
4.272,0.07,-0.647
4.275,0.075,-0.747
4.278,0.079,-0.847
4.281,0.08,-0.946
4.283,0.076,-1.046
4.286,0.076,-1.046
4.289,0.083,-1.046
4.292,0.089,-1.046
4.294,0.089,-1.145
4.297,0.086,-1.195
4.3,0.085,-1.096
4.303,0.085,-0.996
4.306,0.088,-0.946
4.308,0.093,-0.946
4.311,0.096,-0.896
4.314,0.096,-0.797
4.317,0.095,-0.697
4.319,0.099,-0.548
4.322,0.103,-0.498
4.325,0.106,-0.498
4.328,0.105,-0.398
4.331,0.105,-0.299
4.333,0.105,-0.149
4.336,0.107,0.05
4.339,0.111,0.249
4.342,0.114,0.398
4.344,0.112,0.548
4.347,0.108,0.647
4.35,0.105,0.847
4.353,0.107,0.946
4.356,0.111,1.046
4.358,0.117,1.145
4.361,0.121,1.195
4.364,0.118,1.345
4.367,0.113,1.444
4.369,0.113,1.544
4.372,0.12,1.544
4.375,0.125,1.544
4.378,0.123,1.594
4.381,0.118,1.643
4.383,0.117,1.594
4.386,0.118,1.544
4.389,0.119,1.544
4.392,0.121,1.544
4.394,0.12,1.594
4.397,0.118,1.494
4.4,0.118,1.444
4.403,0.12,1.345
4.406,0.124,1.295
4.408,0.127,1.245
4.411,0.127,1.195
4.414,0.124,1.195
4.417,0.123,1.195
4.419,0.125,1.245
4.422,0.13,1.195
4.425,0.133,1.096
4.428,0.132,0.946
4.431,0.128,0.797
4.433,0.127,0.847
4.436,0.128,0.996
4.439,0.132,1.046
4.442,0.133,0.946
4.444,0.133,0.896
4.447,0.132,0.946
4.45,0.132,1.096
4.453,0.132,1.195
4.456,0.137,1.195
4.458,0.141,1.195
4.461,0.142,1.295
4.464,0.141,1.394
4.467,0.137,1.494
4.469,0.137,1.594
4.472,0.142,1.643
4.475,0.145,1.693
4.478,0.143,1.743
4.481,0.138,1.892
4.483,0.135,1.942
4.486,0.136,1.942
4.489,0.138,1.942
4.492,0.138,1.942
4.494,0.136,2.092
4.497,0.135,2.191
4.5,0.137,2.291
4.503,0.139,2.291
4.506,0.141,2.191
4.508,0.142,2.141
4.511,0.142,2.191
4.514,0.139,2.241
4.517,0.136,2.241
4.519,0.137,2.241
4.522,0.141,2.191
4.525,0.144,2.141
4.528,0.142,2.141
4.531,0.139,2.141
4.533,0.136,2.141
4.536,0.135,2.141
4.539,0.138,2.092
4.542,0.141,2.042
4.544,0.14,2.092
4.547,0.136,2.092
4.55,0.132,2.092
4.553,0.132,2.042
4.556,0.136,2.042
4.558,0.138,2.042
4.561,0.137,2.092
4.564,0.134,2.141
4.567,0.132,2.141
4.569,0.136,2.141
4.572,0.141,2.191
4.575,0.143,2.191
4.578,0.141,2.141
4.581,0.136,2.092
4.583,0.133,2.141
4.586,0.136,2.191
4.589,0.14,2.191
4.592,0.143,2.141
4.594,0.143,2.141
4.597,0.142,2.191
4.6,0.141,2.241
4.603,0.141,2.241
4.606,0.143,2.241
4.608,0.147,2.191
4.611,0.147,2.141
4.614,0.143,2.191
4.617,0.14,2.291
4.619,0.142,2.341
4.622,0.145,2.341
4.625,0.144,2.341
4.628,0.142,2.39
4.631,0.141,2.49
4.633,0.14,2.54
4.636,0.139,2.54
4.639,0.141,2.54
4.642,0.144,2.49
4.644,0.145,2.54
4.647,0.143,2.639
4.65,0.143,2.689
4.653,0.146,2.689
4.656,0.147,2.639
4.658,0.145,2.639
4.661,0.142,2.739
4.664,0.142,2.789
4.667,0.144,2.739
4.669,0.147,2.689
4.672,0.15,2.689
4.675,0.151,2.739
4.678,0.149,2.839
4.681,0.143,2.888
4.683,0.141,2.938
4.686,0.143,2.938
4.689,0.147,2.938
4.692,0.151,2.938
4.694,0.149,2.988
4.697,0.144,3.038
4.7,0.14,3.137
4.703,0.142,3.237
4.706,0.146,3.187
4.708,0.149,3.088
4.711,0.148,3.038
4.714,0.145,3.137
4.717,0.143,3.187
4.719,0.143,3.137
4.722,0.142,3.088
4.725,0.142,3.088
4.728,0.142,3.038
4.731,0.142,3.038
4.733,0.142,3.038
4.736,0.14,3.038
4.739,0.14,3.038
4.742,0.142,3.038
4.744,0.143,3.038
4.747,0.14,3.038
4.75,0.138,2.988
4.753,0.142,2.938
4.756,0.145,2.888
4.758,0.143,2.888
4.761,0.137,2.888
4.764,0.133,2.888
4.767,0.135,2.888
4.769,0.141,2.888
4.772,0.152,2.888
4.775,0.165,2.839
4.778,0.168,2.839
4.781,0.167,2.888
4.783,0.175,2.938
4.786,0.195,2.988
4.789,0.213,2.938
4.792,0.224,2.888
4.794,0.234,2.888
4.797,0.247,2.938
4.8,0.256,2.988
4.803,0.263,2.988
4.806,0.272,2.988
4.808,0.275,2.938
4.811,0.262,2.888
4.814,0.246,2.888
4.817,0.249,2.888
4.819,0.267,2.938
4.822,0.272,2.938
4.825,0.257,2.938
4.828,0.249,2.938
4.831,0.263,2.988
4.833,0.289,3.038
4.836,0.303,3.088
4.839,0.3,3.137
4.842,0.296,3.187
4.844,0.293,3.237
4.847,0.288,3.287
4.85,0.281,3.386
4.853,0.279,3.536
4.856,0.286,3.635
4.858,0.291,3.735
4.861,0.284,3.835
4.864,0.268,3.984
4.867,0.258,4.133
4.869,0.257,4.333
4.872,0.252,4.482
4.875,0.241,4.681
4.878,0.223,4.88
4.881,0.201,5.03
4.883,0.176,5.129
4.886,0.147,5.279
4.889,0.119,5.428
4.892,0.104,5.627
4.894,0.105,5.727
4.897,0.114,5.827
4.9,0.119,5.976
4.903,0.114,6.076
4.906,0.104,6.125
4.908,0.097,6.125
4.911,0.094,6.125
4.914,0.094,6.125
4.917,0.091,6.026
4.919,0.084,5.926
4.922,0.075,5.876
4.925,0.069,5.827
4.928,0.066,5.827
4.931,0.065,5.677
4.933,0.062,5.478
4.936,0.065,5.378
4.939,0.072,5.329
4.942,0.077,5.279
4.944,0.074,5.129
4.947,0.066,4.98
4.95,0.062,4.831
4.953,0.066,4.731
4.956,0.073,4.681
4.958,0.075,4.631
4.961,0.071,4.582
4.964,0.067,4.432
4.967,0.069,4.333
4.969,0.076,4.333
4.972,0.082,4.432
4.975,0.08,4.532
4.978,0.073,4.532
4.981,0.065,4.532
4.983,0.064,4.532
4.986,0.068,4.582
4.989,0.07,4.681
4.992,0.068,4.781
4.994,0.067,4.781
4.997,0.07,4.781
5,0.073,4.831
5.003,0.074,5.03
5.006,0.074,5.179
5.008,0.073,5.229
5.011,0.07,5.129
5.014,0.065,5.129
5.017,0.066,5.129
5.019,0.073,5.179
5.022,0.076,5.229
5.025,0.073,5.279
5.028,0.067,5.179
5.031,0.065,5.08
5.033,0.07,4.98
5.036,0.078,4.98
5.039,0.081,4.98
5.042,0.075,4.831
5.044,0.065,4.631
5.047,0.066,4.482
5.05,0.079,4.432
5.053,0.09,4.333
5.056,0.092,4.183
5.058,0.084,4.034
5.061,0.074,3.835
5.064,0.077,3.536
5.067,0.106,3.237
5.069,0.153,3.088
5.072,0.203,2.988
5.075,0.25,2.839
5.078,0.302,2.59
5.081,0.353,2.44
5.083,0.387,2.191
5.086,0.406,1.892
5.089,0.429,1.693
5.092,0.488,1.643
5.094,0.618,1.643
5.097,0.832,1.544
5.1,1.094,1.444
5.103,1.357,1.295
5.106,1.607,1.145
5.108,1.809,0.896
5.111,1.844,0.747
5.114,1.608,0.647
5.117,1.169,0.598
5.119,0.718,0.498
5.122,0.356,0.398
5.125,0.037,0.299
5.128,-0.27,0.199
5.131,-0.501,0.199
5.133,-0.608,0.199
5.136,-0.637,0.199
5.139,-0.648,0.149
5.142,-0.651,0.1
5.144,-0.637,0.1
5.147,-0.619,0.149
5.15,-0.602,0.199
5.153,-0.568,0.299
5.156,-0.517,0.349
5.158,-0.475,0.398
5.161,-0.452,0.448
5.164,-0.431,0.498
5.167,-0.395,0.498
5.169,-0.347,0.548
5.172,-0.299,0.598
5.175,-0.262,0.598
5.178,-0.235,0.647
5.181,-0.212,0.797
5.183,-0.19,0.847
5.186,-0.175,0.847
5.189,-0.174,0.747
5.192,-0.18,0.797
5.194,-0.183,0.896
5.197,-0.176,0.896
5.2,-0.163,0.896
5.203,-0.154,0.847
5.206,-0.157,0.847
5.208,-0.166,0.847
5.211,-0.166,0.896
5.214,-0.161,0.996
5.217,-0.158,1.046
5.219,-0.161,0.996
5.222,-0.163,0.946
5.225,-0.166,0.996
5.228,-0.171,1.046
5.231,-0.172,1.096
5.233,-0.167,0.946
5.236,-0.161,0.797
5.239,-0.16,0.697
5.242,-0.164,0.697
5.244,-0.169,0.697
5.247,-0.171,0.647
5.25,-0.169,0.548
5.253,-0.164,0.398
5.256,-0.161,0.199
5.258,-0.164,0
5.261,-0.166,-0.149
5.264,-0.164,-0.299
5.267,-0.161,-0.498
5.269,-0.16,-0.747
5.272,-0.16,-0.847
5.275,-0.161,-0.847
5.278,-0.163,-0.847
5.281,-0.164,-0.847
5.283,-0.161,-0.896
5.286,-0.157,-0.896
5.289,-0.156,-0.797
5.292,-0.157,-0.697
5.294,-0.159,-0.598
5.297,-0.16,-0.548
5.3,-0.156,-0.498
5.303,-0.15,-0.448
5.306,-0.147,-0.349
5.308,-0.149,-0.199
5.311,-0.152,-0.05
5.314,-0.151,0.199
5.317,-0.145,0.398
5.319,-0.138,0.498
5.322,-0.132,0.598
5.325,-0.132,0.598
5.328,-0.136,0.647
5.331,-0.14,0.697
5.333,-0.138,0.847
5.336,-0.133,1.096
5.339,-0.13,1.345
5.342,-0.131,1.494
5.344,-0.132,1.594
5.347,-0.129,1.643
5.35,-0.124,1.793
5.353,-0.117,1.992
5.356,-0.113,2.191
5.358,-0.114,2.291
5.361,-0.116,2.291
5.364,-0.118,2.341
5.367,-0.119,2.44
5.369,-0.121,2.54
5.372,-0.117,2.54
5.375,-0.111,2.54
5.378,-0.112,2.59
5.381,-0.118,2.689
5.383,-0.122,2.739
5.386,-0.119,2.689
5.389,-0.118,2.639
5.392,-0.122,2.59
5.394,-0.125,2.54
5.397,-0.125,2.54
5.4,-0.125,2.59
5.403,-0.125,2.639
5.406,-0.126,2.639
5.408,-0.132,2.639
5.411,-0.146,2.639
5.414,-0.156,2.739
5.417,-0.155,2.888
5.419,-0.147,2.938
5.422,-0.149,2.938
5.425,-0.161,2.988
5.428,-0.171,3.137
5.431,-0.175,3.287
5.433,-0.177,3.436
5.436,-0.182,3.586
5.439,-0.19,3.685
5.442,-0.2,3.735
5.444,-0.209,3.884
5.447,-0.215,4.034
5.45,-0.219,4.183
5.453,-0.223,4.283
5.456,-0.227,4.333
5.458,-0.232,4.432
5.461,-0.238,4.482
5.464,-0.244,4.582
5.467,-0.246,4.681
5.469,-0.244,4.681
5.472,-0.248,4.681
5.475,-0.261,4.631
5.478,-0.274,4.631
5.481,-0.28,4.731
5.483,-0.282,4.781
5.486,-0.286,4.731
5.489,-0.29,4.681
5.492,-0.295,4.631
5.494,-0.299,4.681
5.497,-0.3,4.681
5.5,-0.298,4.631
5.503,-0.296,4.582
5.506,-0.298,4.482
5.508,-0.302,4.432
5.511,-0.303,4.482
5.514,-0.301,4.532
5.517,-0.299,4.482
5.519,-0.296,4.382
5.522,-0.293,4.283
5.525,-0.29,4.183
5.528,-0.289,4.183
5.531,-0.286,4.183
5.533,-0.278,4.133
5.536,-0.27,3.984
5.539,-0.264,3.934
5.542,-0.26,3.934
5.544,-0.258,3.984
5.547,-0.255,4.084
5.55,-0.246,4.183
5.553,-0.236,4.283
5.556,-0.231,4.283
5.558,-0.229,4.283
5.561,-0.224,4.333
5.564,-0.214,4.382
5.567,-0.204,4.432
5.569,-0.198,4.432
5.572,-0.193,4.382
5.575,-0.188,4.382
5.578,-0.186,4.333
5.581,-0.183,4.283
5.583,-0.175,4.333
5.586,-0.163,4.333
5.589,-0.155,4.283
5.592,-0.151,4.183
5.594,-0.147,4.183
5.597,-0.133,4.183
5.6,-0.115,4.084
5.603,-0.095,3.884
5.606,-0.076,3.685
5.608,-0.058,3.586
5.611,-0.041,3.486
5.614,-0.025,3.337
5.617,-0.007,3.287
5.619,0.009,3.237
5.622,0.026,3.088
5.625,0.039,2.839
5.628,0.046,2.689
5.631,0.055,2.639
5.633,0.071,2.54
5.636,0.091,2.44
5.639,0.102,2.39
5.642,0.097,2.39
5.644,0.086,2.291
5.647,0.081,2.241
5.65,0.084,2.191
5.653,0.089,2.191
5.656,0.094,2.191
5.658,0.097,2.241
5.661,0.102,2.241
5.664,0.113,2.241
5.667,0.132,2.241
5.669,0.147,2.241
5.672,0.149,2.291
5.675,0.146,2.39
5.678,0.146,2.59
5.681,0.146,2.789
5.683,0.142,2.839
5.686,0.14,2.888
5.689,0.142,2.888
5.692,0.142,2.938
5.694,0.134,3.038
5.697,0.128,3.137
5.7,0.131,3.237
5.703,0.132,3.337
5.706,0.123,3.386
5.708,0.106,3.536
5.711,0.091,3.735
5.714,0.079,3.884
5.717,0.065,3.984
5.719,0.05,4.034
5.722,0.036,4.133
5.725,0.026,4.183
5.728,0.022,4.283
5.731,0.026,4.333
5.733,0.035,4.382
5.736,0.041,4.382
5.739,0.042,4.382
5.742,0.039,4.432
5.744,0.036,4.432
5.747,0.041,4.432
5.75,0.052,4.432
5.753,0.056,4.432
5.756,0.049,4.432
5.758,0.039,4.382
5.761,0.036,4.283
5.764,0.041,4.183
5.767,0.043,4.034
5.769,0.044,3.835
5.772,0.045,3.785
5.775,0.045,3.785
5.778,0.043,3.735
5.781,0.043,3.635
5.783,0.046,3.486
5.786,0.048,3.337
5.789,0.047,3.287
5.792,0.049,3.287
5.794,0.052,3.287
5.797,0.053,3.237
5.8,0.052,3.088
5.803,0.055,2.988
5.806,0.06,2.888
5.808,0.06,2.839
5.811,0.055,2.789
5.814,0.055,2.639
5.817,0.061,2.54
5.819,0.064,2.44
5.822,0.06,2.39
5.825,0.058,2.44
5.828,0.06,2.59
5.831,0.062,2.639
5.833,0.063,2.49
5.836,0.065,2.341
5.839,0.069,2.241
5.842,0.069,2.291
5.844,0.064,2.341
5.847,0.062,2.241
5.85,0.068,2.141
5.853,0.072,2.092
5.856,0.071,2.141
5.858,0.068,2.191
5.861,0.067,2.191
5.864,0.068,2.191
5.867,0.07,2.191
5.869,0.075,2.191
5.872,0.076,2.191
5.875,0.072,2.191
5.878,0.066,2.141
5.881,0.068,2.092
5.883,0.075,2.042
5.886,0.078,2.042
5.889,0.075,1.992
5.892,0.075,1.992
5.894,0.079,1.992
5.897,0.083,1.992
5.9,0.086,1.892
5.903,0.091,1.843
5.906,0.09,1.793
5.908,0.083,1.793
5.911,0.079,1.793
5.914,0.084,1.793
5.917,0.093,1.693
5.919,0.094,1.643
5.922,0.089,1.693
5.925,0.084,1.793
5.928,0.084,1.892
5.931,0.087,1.843
5.933,0.09,1.793
5.936,0.093,1.793
5.939,0.092,1.843
5.942,0.089,1.892
5.944,0.088,1.992
5.947,0.09,2.042
5.95,0.092,2.092
5.953,0.093,2.042
5.956,0.094,1.942
5.958,0.094,1.942
5.961,0.094,1.942
5.964,0.096,1.892
5.967,0.1,1.743
5.969,0.104,1.643
5.972,0.102,1.594
5.975,0.097,1.643
5.978,0.094,1.643
5.981,0.098,1.643
5.983,0.103,1.594
5.986,0.107,1.444
5.989,0.107,1.295
5.992,0.103,1.345
5.994,0.102,1.444
5.997,0.104,1.494
6,0.109,1.444
6.003,0.11,1.394
6.006,0.108,1.345
6.008,0.105,1.394
6.011,0.106,1.444
6.014,0.109,1.544
6.017,0.113,1.693
6.019,0.116,1.693
6.022,0.115,1.693
6.025,0.111,1.693
6.028,0.109,1.843
6.031,0.113,1.992
6.033,0.119,2.042
6.036,0.121,2.092
6.039,0.118,2.092
6.042,0.115,2.042
6.044,0.116,2.042
6.047,0.119,2.141
6.05,0.123,2.191
6.053,0.126,2.141
6.056,0.123,2.042
6.058,0.12,2.042
6.061,0.119,2.092
6.064,0.122,2.141
6.067,0.125,2.141
6.069,0.127,2.092
6.072,0.126,2.191
6.075,0.123,2.291
6.078,0.119,2.341
6.081,0.123,2.39
6.083,0.129,2.44
6.086,0.129,2.49
6.089,0.123,2.54
6.092,0.12,2.59
6.094,0.123,2.789
6.097,0.128,2.888
6.1,0.131,2.839
6.103,0.132,2.739
6.106,0.131,2.888
6.108,0.129,3.038
6.111,0.127,3.137
6.114,0.128,3.137
6.117,0.132,3.137
6.119,0.133,3.088
6.122,0.132,3.137
6.125,0.132,3.237
6.128,0.132,3.287
6.131,0.132,3.237
6.133,0.132,3.187
6.136,0.135,3.187
6.139,0.136,3.187
6.142,0.133,3.137
6.144,0.132,3.187
6.147,0.136,3.287
6.15,0.142,3.337
6.153,0.142,3.386
6.156,0.14,3.386
6.158,0.14,3.486
6.161,0.142,3.536
6.164,0.142,3.536
6.167,0.142,3.586
6.169,0.144,3.685
6.172,0.143,3.735
6.175,0.14,3.884
6.178,0.138,3.934
6.181,0.142,3.984
6.183,0.146,3.934
6.186,0.145,3.934
6.189,0.142,3.984
6.192,0.139,3.984
6.194,0.137,3.934
